"","Id","EventId","EventMonth","Paid","PayInd","OpenInd"
"81",51,2,12,1727,1,0
"82",52,1,8,1000,1,0
"83",53,1,3,1483,1,1
"84",53,2,7,1402,1,1
"85",53,3,15,1194,1,1
"86",53,4,19,1344,1,1
"87",53,5,24,117410,1,1
"88",53,6,25,10608,1,0
"89",54,1,14,1276,1,0
"90",55,1,9,1430,1,1
"91",55,2,18,1335,1,0
"92",56,1,3,1022,1,1
"93",56,2,4,2131,1,0
"94",57,1,29,20000,1,1
"95",57,2,46,24145,1,0
"96",58,1,3,32326,1,1
"97",58,2,5,26970,1,0
"98",59,1,18,2467,1,1
"99",59,2,30,2000,1,0
"100",60,1,39,9530,1,0
"101",61,1,15,4322,1,0
"102",62,1,6,541,1,0
"103",63,1,5,2028,1,1
"104",63,2,12,1818,1,1
"105",63,3,19,2000,1,0
"106",64,1,5,3908,1,0
"107",66,1,17,1399,1,1
"108",66,2,19,1287,1,0
"109",67,1,19,7035,1,0
"110",68,1,14,1500,1,1
"111",68,2,20,1251,1,1
"112",68,3,28,24053,1,1
"113",68,4,29,1953,1,1
"114",68,5,32,0,0,0
"115",69,1,22,3186,1,1
"116",69,2,29,3487,1,1
"117",69,3,45,3492,1,1
"118",69,4,46,0,0,0
"119",70,1,16,3154,1,1
"120",70,2,31,4155,1,0
"121",71,1,9,670,1,0
"122",72,1,7,1392,1,0
"123",73,1,2,2371,1,1
"124",73,2,3,41799,1,1
"125",73,3,8,0,0,0
"126",74,1,6,1379,1,1
"127",74,2,11,1379,1,1
"128",74,3,14,1556,1,1
"129",74,4,16,0,0,0
"130",75,1,8,1614,1,0
"131",76,1,26,5238,1,0
"132",77,1,10,7130,1,1
"133",77,2,16,6657,1,0
"134",78,1,22,4518,1,1
"135",78,2,44,4340,1,0
"136",79,1,11,5117,1,0
"137",80,1,9,2263,1,0
"138",81,1,22,5027,1,0
"139",82,1,31,1660,1,0
"140",83,1,3,259,1,1
"141",83,2,5,269,1,0
"142",84,1,44,8751,1,0
"143",85,1,23,4726,1,0
"144",86,1,26,6279,1,1
"145",86,2,35,6558,1,0
"146",87,1,5,661,1,1
"147",87,2,9,1000,1,0
"148",88,1,10,3000,1,0
"149",89,1,5,331,1,1
"150",89,2,8,374,1,0
"151",90,1,4,535,1,0
"152",91,1,17,6104,1,1
"153",91,2,35,6233,1,0
"154",92,1,19,12877,1,1
"155",92,2,24,10957,1,0
"156",93,1,57,63754,1,1
"157",93,2,90,81217,1,0
"158",94,1,12,1885,1,0
"159",95,1,35,4445,1,0
"160",96,1,7,415,1,1
"161",96,2,8,423,1,0
"162",97,1,19,3058,1,0
"163",98,1,3,1380,1,0
"164",99,1,20,5000,1,0
"165",100,1,2,233,1,0
"166",101,1,8,1003,1,0
"167",102,1,29,3576,1,0
"168",103,1,11,1747,1,0
"169",104,1,9,6275,1,1
"170",104,2,23,6524,1,0
"171",105,1,8,2981,1,1
"172",105,2,16,2524,1,1
"173",105,3,22,3324,1,0
"174",106,1,25,7690,1,1
"175",106,2,33,5583,1,1
"176",106,3,46,262253,1,1
"177",106,4,49,23536,1,1
"178",106,5,54,0,0,0
"179",107,1,24,9254,1,0
"180",108,1,11,1538,1,1
"181",108,2,22,1300,1,1
"182",108,3,26,2000,1,0
"183",109,1,35,60673,1,1
"184",109,2,55,58793,1,0
"185",110,1,17,2267,1,1
"186",110,2,30,2470,1,1
"187",110,3,34,56143,1,1
"188",110,4,36,7899,1,1
"189",110,5,41,-21943,0,1
"190",110,6,44,0,0,0
"191",111,1,31,3000,1,0
"192",112,1,4,257,1,1
"193",112,2,6,297,1,0
"194",113,1,8,1145,1,1
"195",113,2,24,1264,1,1
"196",113,3,45,1415,1,1
"197",113,4,50,0,0,0
"198",114,1,23,11077,1,1
"199",114,2,33,10000,1,0
"200",115,1,11,3000,1,0
"201",116,1,23,10351,1,1
"202",116,2,52,10000,1,0
"203",117,1,13,2326,1,1
"204",117,2,25,2393,1,0
"205",118,1,2,266,1,0
"206",119,1,12,9493,1,1
"207",119,2,17,10000,1,0
"208",120,1,13,1132,1,0
"209",121,1,15,800,1,0
"210",122,1,3,176,1,0
"211",123,1,7,2872,1,0
"212",124,1,17,1786,1,0
"213",125,1,7,1157,1,0
"214",126,1,8,1866,1,1
"215",126,2,15,2315,1,1
"216",126,3,29,2311,1,1
"217",126,4,31,0,0,0
"218",127,1,12,2036,1,0
"219",128,1,15,3687,1,0
"220",129,1,16,2295,1,0
"221",130,1,16,2484,1,0
"222",131,1,6,726,1,0
"223",132,1,21,2542,1,1
"224",132,2,28,2586,1,1
"225",132,3,35,57565,1,1
"226",132,4,38,3803,1,1
"227",132,5,41,0,0,0
"228",133,1,13,2467,1,0
"229",134,1,15,6700,1,0
"230",135,1,4,502,1,1
"231",135,2,9,590,1,0
"232",136,1,3,1590,1,0
"233",137,1,22,3679,1,0
"234",138,1,8,5794,1,0
"235",139,1,12,1668,1,0
"236",140,1,25,3000,1,0
"237",141,1,11,1000,1,0
"238",142,1,16,1006,1,0
"239",143,1,3,705,1,0
"240",144,1,13,3407,1,1
"241",144,2,28,3581,1,0
"242",145,1,10,7325,1,1
"243",145,2,18,5944,1,0
"244",146,1,19,6579,1,1
"245",146,2,47,6053,1,0
"246",147,1,15,17515,1,1
"247",147,2,23,17830,1,1
"248",147,3,35,-30634,0,1
"249",147,4,37,17904,1,0
"250",148,1,38,4036,1,0
"251",149,1,4,431,1,1
"252",149,2,8,442,1,0
"253",150,1,3,340,1,0
"254",151,1,15,1612,1,1
"255",151,2,28,1666,1,1
"256",151,3,37,21986,1,1
"257",151,4,41,2360,1,0
"258",152,1,9,1171,1,0
"259",153,1,25,4005,1,0
"260",154,1,15,593,1,0
"261",155,1,33,37285,1,1
"262",155,2,64,37645,1,0
"263",156,1,33,5272,1,0
"264",157,1,28,5063,1,0
"265",158,1,6,236,1,1
"266",158,2,7,238,1,0
"267",159,1,7,780,1,0
"268",161,1,20,8432,1,0
"269",162,1,20,5914,1,1
"270",162,2,26,5129,1,1
"271",162,3,35,5059,1,0
"272",163,1,9,1129,1,1
"273",163,2,17,1093,1,1
"274",163,3,26,1000,1,1
"275",163,4,40,41540,1,1
"276",163,5,43,6501,1,0
"277",164,1,5,1137,1,1
"278",164,2,10,1359,1,1
"279",164,3,14,1171,1,1
"280",164,4,19,1021,1,1
"281",164,5,22,30117,1,1
"282",164,6,23,4616,1,1
"283",164,7,24,0,0,0
"284",165,1,7,1203,1,1
"285",165,2,13,1019,1,1
"286",165,3,21,1123,1,0
"287",166,1,25,6805,1,1
"288",166,2,38,8254,1,0
"289",167,1,10,2362,1,1
"290",167,2,25,2331,1,1
"291",167,3,36,30368,1,1
"292",167,4,38,2324,1,1
"293",167,5,39,0,0,0
"294",167,6,48,0,0,1
"295",167,7,50,6074,1,0
"296",168,1,45,13155,1,1
"297",168,2,67,12488,1,1
"298",168,3,90,-20623,0,1
"299",168,4,95,15841,1,1
"300",168,5,97,0,0,0
"301",169,1,42,6584,1,0
"302",170,1,8,1031,1,0
"303",171,1,23,866,1,0
"304",172,1,4,1433,1,1
"305",172,2,5,1507,1,1
"306",172,3,7,1510,1,0
"307",173,1,4,295,1,0
"308",174,1,13,2185,1,0
"309",175,1,20,3259,1,0
"310",176,1,26,8860,1,1
"311",176,2,39,8324,1,0
"312",177,1,11,2229,1,0
"313",178,1,11,12452,1,1
"314",178,2,17,10301,1,0
"315",179,1,9,4259,1,1
"316",179,2,17,3982,1,0
"317",180,1,17,9249,1,1
"318",180,2,55,9102,1,0
"319",181,1,5,1117,1,1
"320",181,2,17,1000,1,0
"321",183,1,14,3000,1,0
"322",184,1,13,8123,1,1
"323",184,2,22,8210,1,0
"324",185,1,9,1327,1,0
"325",186,1,16,1747,1,1
"326",186,2,27,2000,1,1
"327",186,3,32,1561,1,0
"328",187,1,9,1429,1,0
"329",188,1,5,1657,1,0
"330",189,1,21,7950,1,1
"331",189,2,31,8889,1,0
"332",190,1,12,2231,1,1
"333",190,2,21,2481,1,1
"334",190,3,31,2546,1,1
"335",190,4,34,0,0,0
"336",191,1,19,9194,1,0
"337",192,1,29,6062,1,0
"338",193,1,6,642,1,0
"339",194,1,5,703,1,0
"340",195,1,16,2182,1,0
"341",196,1,20,6918,1,0
"342",197,1,29,3052,1,0
"343",198,1,6,110,1,0
"344",199,1,17,1349,1,0
"345",200,1,6,550,1,0
"346",201,1,7,1276,1,0
"347",202,1,6,764,1,1
"348",202,2,12,715,1,0
"349",203,1,6,415,1,0
"350",204,1,10,1744,1,1
"351",204,2,14,1776,1,1
"352",204,3,16,1590,1,0
"353",205,1,24,7879,1,0
"354",206,1,3,2069,1,0
"355",207,1,5,2000,1,1
"356",207,2,7,2000,1,1
"357",207,3,8,2080,1,0
"358",208,1,22,2378,1,0
"359",209,1,28,8263,1,0
"360",210,1,41,5577,1,0
"361",211,1,8,373,1,1
"362",211,2,10,432,1,0
"363",212,1,13,3753,1,0
"364",213,1,12,1406,1,0
"365",214,1,6,1791,1,1
"366",214,2,10,1617,1,1
"367",214,3,11,1610,1,1
"368",214,4,15,0,0,0
"369",215,1,4,1000,1,1
"370",215,2,5,1000,1,0
"371",216,1,5,2722,1,1
"372",216,2,10,2594,1,1
"373",216,3,12,2537,1,0
"374",217,1,10,3298,1,1
"375",217,2,21,3341,1,1
"376",217,3,30,3156,1,1
"377",217,4,34,0,0,0
"378",218,1,5,3000,1,1
"379",218,2,8,2403,1,0
"380",219,1,3,413,1,1
"381",219,2,6,405,1,0
"382",220,1,8,531,1,0
"383",221,1,14,1000,1,1
"384",221,2,19,1000,1,1
"385",221,3,26,1000,1,1
"386",221,4,35,1000,1,1
"387",221,5,45,1000,1,1
"388",221,6,57,1053,1,1
"389",221,7,63,62566,1,1
"390",221,8,66,7166,1,0
"391",221,9,67,0,0,1
"392",221,10,78,0,0,0
"393",222,1,17,5000,1,1
"394",222,2,29,4774,1,1
"395",222,3,41,4696,1,0
"396",223,1,23,3158,1,0
"397",224,1,15,9403,1,0
"398",225,1,4,5087,1,0
"399",226,1,17,2566,1,1
"400",226,2,31,2717,1,1
"401",226,3,51,48759,1,1
"402",226,4,53,-20317,0,1
"403",226,5,58,5000,1,0
"404",227,1,5,2311,1,1
"405",227,2,9,2114,1,1
"406",227,3,12,2457,1,0
"407",228,1,20,2000,1,0
"408",229,1,13,5903,1,1
"409",229,2,19,5451,1,0
"410",230,1,7,6716,1,1
"411",230,2,12,5482,1,0
"412",231,1,14,2608,1,0
"413",232,1,13,1679,1,0
"414",233,1,6,1889,1,1
"415",233,2,8,1826,1,1
"416",233,3,15,2056,1,0
"417",234,1,3,149,1,0
"418",235,1,43,9789,1,0
"419",236,1,8,3557,1,1
"420",236,2,15,3188,1,1
"421",236,3,19,3000,1,0
"422",237,1,7,5000,1,1
"423",237,2,10,5890,1,0
"424",238,1,6,138,1,0
"425",239,1,5,7617,1,0
"426",240,1,17,1306,1,0
"427",241,1,6,22053,1,1
"428",241,2,12,23994,1,0
"429",242,1,6,296,1,0
"430",243,1,10,8146,1,0
"431",244,1,7,528,1,1
"432",244,2,12,669,1,0
"433",245,1,5,1581,1,1
"434",245,2,8,1624,1,1
"435",245,3,11,17943,1,0
"436",246,1,11,1894,1,1
"437",246,2,19,2074,1,0
"438",247,1,14,2061,1,0
"439",248,1,10,3000,1,1
"440",248,2,18,3148,1,0
"441",249,1,6,20022,1,1
"442",249,2,10,16182,1,0
"443",250,1,16,3472,1,0
"444",251,1,3,3069,1,0
"445",252,1,15,1420,1,1
"446",252,2,22,1682,1,1
"447",252,3,32,1760,1,1
"448",252,4,35,2000,1,1
"449",252,5,43,54030,1,1
"450",252,6,45,7030,1,0
"451",253,1,16,1503,1,0
"452",254,1,48,3764,1,0
"453",255,1,10,4270,1,0
"454",256,1,18,3551,1,1
"455",256,2,28,4304,1,0
"456",257,1,4,225,1,1
"457",257,2,5,236,1,0
"458",258,1,6,2135,1,1
"459",258,2,10,2442,1,0
"460",259,1,14,1378,1,1
"461",259,2,21,1604,1,1
"462",259,3,34,1719,1,0
"463",260,1,3,316,1,0
"464",261,1,13,1241,1,1
"465",261,2,23,1152,1,1
"466",261,3,29,1469,1,0
"467",262,1,10,1326,1,1
"468",262,2,15,1019,1,0
"469",263,1,8,438,1,0
"470",264,1,19,2000,1,0
"471",265,1,3,1064,1,0
"472",266,1,5,217,1,0
"473",267,1,6,579,1,1
"474",267,2,9,564,1,0
"475",268,1,10,3000,1,1
"476",268,2,28,2660,1,1
"477",268,3,52,3000,1,0
"478",269,1,32,10456,1,0
"479",270,1,28,8798,1,1
"480",270,2,43,9131,1,0
"481",271,1,6,4680,1,1
"482",271,2,7,3932,1,0
"483",273,1,7,2260,1,0
"484",274,1,6,1449,1,0
"485",275,1,23,2441,1,0
"486",276,1,11,1539,1,0
"487",277,1,37,5059,1,0
"488",278,1,13,2006,1,1
"489",278,2,27,2000,1,1
"490",278,3,43,1679,1,1
"491",278,4,48,0,0,0
"492",279,1,10,5613,1,1
"493",279,2,17,4945,1,0
"494",280,1,4,1000,1,1
"495",280,2,5,905,1,1
"496",280,3,6,1010,1,1
"497",280,4,7,14965,1,1
"498",280,5,12,0,0,0
"499",281,1,9,4709,1,1
"500",281,2,11,5209,1,0
"501",282,1,18,3173,1,1
"502",282,2,29,2999,1,0
"503",283,1,9,2499,1,1
"504",283,2,12,2080,1,1
"505",283,3,15,2690,1,0
"506",284,1,20,20000,1,1
"507",284,2,51,21979,1,0
"508",284,3,59,0,0,1
"509",284,4,60,6510,1,0
"510",285,1,10,22473,1,1
"511",285,2,14,20691,1,1
"512",285,3,25,18479,1,1
"513",285,4,27,0,0,0
"514",286,1,7,1888,1,1
"515",286,2,13,2000,1,1
"516",286,3,17,2046,1,0
"517",287,1,10,2058,1,1
"518",287,2,26,2000,1,0
"519",288,1,5,4114,1,0
"520",289,1,18,2093,1,1
"521",289,2,40,1853,1,1
"522",289,3,46,1798,1,0
"523",290,1,9,1971,1,0
"524",291,1,42,9182,1,0
"525",292,1,5,4579,1,0
"526",293,1,12,1409,1,1
"527",293,2,20,1716,1,0
"528",294,1,21,3473,1,0
"529",295,1,13,4408,1,1
"530",295,2,22,5166,1,0
"531",296,1,6,1266,1,1
"532",296,2,8,1155,1,1
"533",296,3,13,1000,1,0
"534",297,1,7,3007,1,0
"535",298,1,4,3185,1,1
"536",298,2,5,3000,1,1
"537",298,3,7,2916,1,0
"538",300,1,19,7675,1,0
"539",301,1,13,1152,1,1
"540",301,2,22,1000,1,0
"541",302,1,5,10187,1,1
"542",302,2,8,11274,1,0
"543",303,1,7,3558,1,0
"544",304,1,5,5727,1,1
"545",304,2,7,4768,1,0
"546",305,1,9,1178,1,0
"547",306,1,13,6867,1,1
"548",306,2,20,7180,1,0
"549",307,1,9,1255,1,0
"550",308,1,13,1163,1,1
"551",308,2,18,1141,1,1
"552",308,3,24,1366,1,0
"553",309,1,6,8535,1,1
"554",309,2,8,7764,1,0
"555",310,1,22,8787,1,1
"556",310,2,45,8861,1,0
"557",311,1,9,15878,1,1
"558",311,2,13,20953,1,1
"559",311,3,19,17334,1,1
"560",311,4,21,0,0,0
"561",312,1,28,8002,1,1
"562",312,2,33,8098,1,0
"563",313,1,8,5189,1,1
"564",313,2,19,5299,1,0
"565",314,1,31,2443,1,0
"566",315,1,9,1314,1,0
"567",316,1,10,1139,1,0
"568",317,1,9,2789,1,1
"569",317,2,13,2458,1,1
"570",317,3,19,3000,1,0
"571",318,1,12,9683,1,0
"572",319,1,13,2250,1,0
"573",320,1,22,1000,1,1
"574",320,2,26,1080,1,1
"575",320,3,32,1147,1,1
"576",320,4,36,0,0,0
"577",321,1,14,2381,1,1
"578",321,2,22,2719,1,0
"579",322,1,7,602,1,0
"580",323,1,53,8276,1,0
"581",324,1,4,6519,1,1
"582",324,2,5,6921,1,1
"583",324,3,6,6911,1,0
"584",325,1,4,290,1,0
"585",326,1,41,2013,1,0
"586",327,1,20,1936,1,0
"587",328,1,8,1417,1,1
"588",328,2,14,1328,1,0
"589",329,1,10,2000,1,1
"590",329,2,16,1619,1,0
"591",330,1,11,5408,1,1
"592",330,2,21,4566,1,0
"593",331,1,32,9279,1,0
"594",332,1,23,3488,1,0
"595",333,1,6,506,1,0
"596",334,1,3,2000,1,1
"597",334,2,4,1735,1,0
"598",335,1,19,2228,1,0
"599",336,1,17,7402,1,0
"600",337,1,11,491,1,1
"601",337,2,18,500,1,0
"602",338,1,15,17416,1,1
"603",338,2,23,15705,1,1
"604",338,3,36,16187,1,0
"605",339,1,36,24269,1,1
"606",339,2,52,26014,1,1
"607",339,3,77,28413,1,0
"608",340,1,20,2000,1,0
"609",341,1,37,8009,1,0
"610",342,1,14,3814,1,0
"611",343,1,32,5082,1,1
"612",343,2,51,5912,1,0
"613",344,1,12,1000,1,1
"614",344,2,21,1000,1,0
"615",345,1,7,1663,1,1
"616",345,2,13,2000,1,1
"617",345,3,20,2000,1,0
"618",346,1,8,6692,1,1
"619",346,2,10,5420,1,1
"620",346,3,16,5405,1,1
"621",346,4,19,0,0,0
"622",347,1,34,7182,1,0
"623",348,1,19,2235,1,0
"624",350,1,5,776,1,1
"625",350,2,7,693,1,0
"626",351,1,31,3025,1,0
"627",352,1,11,2474,1,1
"628",352,2,15,2346,1,0
"629",353,1,18,2420,1,1
"630",353,2,27,2145,1,0
"631",354,1,15,1484,1,1
"632",354,2,20,1263,1,1
"633",354,3,27,1478,1,0
"634",355,1,4,1982,1,1
"635",355,2,5,2418,1,0
"636",356,1,18,1080,1,0
"637",357,1,24,1732,1,1
"638",357,2,54,1725,1,1
"639",357,3,89,24288,1,1
"640",357,4,94,2035,1,0
"641",358,1,31,3623,1,0
"642",359,1,6,4758,1,0
"643",360,1,5,1045,1,1
"644",360,2,7,1455,1,1
"645",360,3,10,-2695,0,1
"646",360,4,15,1325,1,1
"647",360,5,18,0,0,0
"648",361,1,39,8582,1,0
"649",362,1,5,3000,1,1
"650",362,2,9,3392,1,0
"651",363,1,9,371,1,1
"652",363,2,13,443,1,0
"653",364,1,17,6065,1,1
"654",364,2,24,5250,1,0
"655",365,1,14,3032,1,0
"656",366,1,6,1419,1,1
"657",366,2,8,1413,1,0
"658",367,1,22,11389,1,1
"659",367,2,37,13673,1,0
"660",368,1,7,2458,1,1
"661",368,2,16,2674,1,1
"662",368,3,24,48965,1,1
"663",368,4,25,3917,1,1
"664",368,5,27,-22345,0,0
"665",368,6,30,0,0,1
"666",368,7,35,4723,1,0
"667",369,1,10,20531,1,1
"668",369,2,15,19500,1,1
"669",369,3,21,16599,1,0
"670",370,1,9,16320,1,1
"671",370,2,12,16394,1,1
"672",370,3,15,14002,1,0
"673",371,1,5,1167,1,0
"674",372,1,5,1645,1,1
"675",372,2,9,1343,1,1
"676",372,3,11,16592,1,1
"677",372,4,12,1901,1,0
"678",373,1,17,1214,1,0
"679",374,1,11,5000,1,0
"680",375,1,17,1279,1,0
"681",376,1,9,1303,1,0
"682",378,1,4,1791,1,1
"683",378,2,5,1677,1,0
"684",379,1,12,1488,1,1
"685",379,2,22,1629,1,0
"686",380,1,10,9802,1,1
"687",380,2,18,10642,1,0
"688",381,1,23,1804,1,0
"689",382,1,10,3978,1,1
"690",382,2,16,3337,1,0
"691",383,1,5,1555,1,1
"692",383,2,6,1248,1,1
"693",383,3,8,1575,1,0
"694",384,1,6,3243,1,1
"695",384,2,10,3300,1,0
"696",385,1,12,1000,1,1
"697",385,2,20,1000,1,0
"698",386,1,19,2465,1,1
"699",386,2,37,2196,1,1
"700",386,3,45,2478,1,0
"701",387,1,15,5280,1,1
"702",387,2,33,7234,1,0
"703",388,1,6,2544,1,1
"704",388,2,10,2265,1,1
"705",388,3,14,2690,1,0
"706",389,1,6,2504,1,1
"707",389,2,9,2794,1,0
"708",390,1,15,2186,1,0
"709",391,1,6,10573,1,1
"710",391,2,10,8562,1,1
"711",391,3,27,9374,1,0
"712",392,1,11,1434,1,0
"713",393,1,18,1941,1,1
"714",393,2,27,2000,1,1
"715",393,3,31,1478,1,0
"716",395,1,13,1187,1,1
"717",395,2,17,1303,1,1
"718",395,3,22,16409,1,1
"719",395,4,23,2122,1,1
"720",395,5,26,0,0,0
"721",396,1,5,293,1,0
"722",397,1,7,5000,1,1
"723",397,2,12,4368,1,0
"724",398,1,12,3203,1,0
"725",399,1,4,571,1,1
"726",399,2,5,574,1,0
"727",400,1,11,1050,1,1
"728",400,2,16,1213,1,0
"729",401,1,6,7596,1,1
"730",401,2,21,8905,1,0
"731",402,1,10,1000,1,0
"732",403,1,13,1265,1,1
"733",403,2,21,1096,1,1
"734",403,3,31,1094,1,0
"735",404,1,21,3712,1,0
"736",405,1,6,269,1,1
"737",405,2,7,298,1,0
"738",406,1,11,803,1,0
"739",407,1,18,1019,1,0
"740",408,1,10,1225,1,1
"741",408,2,12,1374,1,0
"742",409,1,15,1291,1,0
"743",410,1,10,4573,1,1
"744",410,2,16,5201,1,0
"745",411,1,9,5853,1,1
"746",411,2,10,6269,1,1
"747",411,3,15,6456,1,0
"748",412,1,27,3000,1,1
"749",412,2,38,3092,1,1
"750",412,3,47,3618,1,0
"751",413,1,22,3934,1,0
"752",414,1,25,3450,1,1
"753",414,2,40,3764,1,0
"754",415,1,6,507,1,0
"755",416,1,14,17747,1,1
"756",416,2,24,16266,1,1
"757",416,3,29,15336,1,0
"758",417,1,5,116,1,0
"759",418,1,29,3188,1,0
"760",419,1,16,1000,1,0
"761",420,1,11,3000,1,1
"762",420,2,18,2588,1,1
"763",420,3,28,3000,1,1
"764",420,4,30,0,0,0
"765",421,1,26,2000,1,1
"766",421,2,39,1953,1,0
"767",422,1,8,1047,1,1
"768",422,2,18,988,1,1
"769",422,3,25,10808,1,1
"770",422,4,28,1483,1,0
"771",423,1,28,7887,1,0
"772",424,1,19,1263,1,1
"773",424,2,26,1604,1,0
"774",425,1,19,6919,1,1
"775",425,2,36,6727,1,0
"776",426,1,14,9398,1,0
"777",427,1,19,3000,1,0
"778",428,1,14,2701,1,0
"779",429,1,12,1308,1,0
"780",430,1,22,1254,1,0
"781",431,1,5,347,1,0
"782",432,1,8,1181,1,1
"783",432,2,10,1243,1,1
"784",432,3,13,1269,1,0
"785",433,1,8,2423,1,1
"786",433,2,13,2520,1,0
"787",434,1,16,4044,1,0
"788",435,1,6,3000,1,1
"789",435,2,8,2513,1,1
"790",435,3,10,2312,1,0
"791",436,1,6,793,1,1
"792",436,2,12,1000,1,1
"793",436,3,19,1000,1,1
"794",436,4,24,16119,1,1
"795",436,5,25,1640,1,0
"796",437,1,20,1046,1,0
"797",438,1,6,278,1,0
"798",439,1,8,433,1,1
"799",439,2,10,386,1,0
"800",440,1,6,1392,1,1
"801",440,2,8,1302,1,1
"802",440,3,12,1266,1,1
"803",440,4,17,-2626,0,0
"804",441,1,10,2055,1,0
"805",442,1,9,1071,1,0
"806",443,1,6,216,1,1
"807",443,2,7,240,1,0
"808",444,1,9,455,1,0
"809",445,1,20,1367,1,1
"810",445,2,51,1474,1,0
"811",446,1,12,2505,1,1
"812",446,2,21,2352,1,0
"813",447,1,21,1612,1,0
"814",448,1,17,1647,1,0
"815",449,1,7,3314,1,1
"816",449,2,10,3000,1,0
"817",450,1,12,1321,1,1
"818",450,2,20,1363,1,1
"819",450,3,28,1433,1,0
"820",451,1,20,3968,1,1
"821",451,2,34,4006,1,0
"822",452,1,10,1493,1,1
"823",452,2,17,1309,1,1
"824",452,3,25,1620,1,0
"825",454,1,22,17232,1,1
"826",454,2,48,26009,1,0
"827",455,1,4,2363,1,1
"828",455,2,5,4303,1,1
"829",455,3,10,0,0,0
"830",456,1,16,1392,1,1
"831",456,2,25,1770,1,0
"832",457,1,5,504,1,0
"833",458,1,7,495,1,0
"834",459,1,12,2812,1,0
"835",460,1,6,3391,1,1
"836",460,2,10,3000,1,0
"837",462,1,26,3118,1,0
"838",463,1,6,2000,1,0
"839",464,1,27,2141,1,0
"840",465,1,9,6942,1,0
"841",466,1,13,2000,1,0
"842",467,1,5,260,1,0
"843",468,1,6,2647,1,1
"844",468,2,7,2485,1,0
"845",469,1,10,5000,1,1
"846",469,2,20,5000,1,0
"847",470,1,11,3553,1,0
"848",471,1,7,1290,1,1
"849",471,2,10,1386,1,0
"850",472,1,7,6040,1,1
"851",472,2,10,5929,1,0
"852",474,1,7,6047,1,1
"853",474,2,10,7020,1,1
"854",474,3,15,6342,1,0
"855",475,1,15,6612,1,0
"856",476,1,4,99,1,0
"857",477,1,14,4308,1,0
"858",478,1,21,6561,1,1
"859",478,2,38,6328,1,0
"860",479,1,12,7026,1,1
"861",479,2,16,8393,1,0
"862",480,1,9,459,1,0
"863",481,1,17,1563,1,0
"864",482,1,10,3000,1,0
"865",483,1,5,634,1,1
"866",483,2,7,869,1,0
"867",484,1,39,4874,1,0
"868",485,1,25,1550,1,0
"869",486,1,44,4935,1,0
"870",487,1,35,3265,1,0
"871",488,1,17,1000,1,1
"872",488,2,25,1255,1,1
"873",488,3,28,16629,1,1
"874",488,4,30,1761,1,1
"875",488,5,33,0,0,0
"876",489,1,39,10398,1,0
"877",490,1,14,1373,1,1
"878",490,2,18,1423,1,1
